Subject,Predicate,Object,Section,Organism,PMCID
EarlyLifeFebrileSeizures,increase,AdultSeizureSusceptibility,Results,Mouse,5538963
EarlyLifeFebrileSeizures,reduce,LatencyToInducedSeizures,Results,Mouse,5538963
EarlyLifeFebrileSeizures,increase,SpontaneousSeizureSeverity,Results,Mouse,5538963
RepeatedFebrileSeizures,worsen,EpilepsyProgression,Results,Mouse,5538963
EarlyLifeFebrileSeizures,increase,HippocampalHyperexcitability,Results,Mouse,5538963
HippocampalHyperexcitability,isObservedIn,CA3Region,Results,Mouse,5538963
HippocampalHyperexcitability,isObservedIn,DentateGyrus,Results,Mouse,5538963
DentateGyrus,controls,HippocampalInputGating,Results,Mouse,5538963
CA3Region,amplifies,EpileptiformDischarges,Results,Mouse,5538963
EarlyLifeFebrileSeizures,increase,CA3PyramidalNeuronFiringRate,Results,Mouse,5538963
EarlyLifeFebrileSeizures,reduce,ActionPotentialThreshold,Results,Mouse,5538963
EarlyLifeFebrileSeizures,increase,BurstFiring,Results,Mouse,5538963
BurstFiring,contributesTo,NetworkSynchrony,Results,Mouse,5538963
NetworkSynchrony,promotes,SeizurePropagation,Results,Mouse,5538963
HighExtracellularPotassium,induces,EpileptiformBursting,Results,Mouse,5538963
EpileptiformBursting,isEnhancedBy,EarlyLifeFebrileSeizures,Results,Mouse,5538963
EpileptiformActivity,reflects,NetworkInstability,Results,Mouse,5538963
EarlyLifeFebrileSeizures,cause,Hyperactivity,Results,Mouse,5538963
EarlyLifeFebrileSeizures,impair,SocialBehavior,Results,Mouse,5538963
EarlyLifeFebrileSeizures,impair,RecognitionMemory,Results,Mouse,5538963
SocialBehaviorDeficit,isLinkedTo,HippocampalDysfunction,Results,Mouse,5538963
MemoryImpairment,isLinkedTo,CA3NetworkDysfunction,Results,Mouse,5538963
EarlyLifeFebrileSeizures,drive,MaladaptiveNetworkPlasticity,Discussion,Mouse,5538963
MaladaptiveNetworkPlasticity,persistsInto,Adulthood,Discussion,Mouse,5538963
PersistentNetworkChanges,worsen,DiseaseSeverity,Discussion,Mouse,5538963
EarlyLifeSeizures,actAs,DiseaseModifier,Discussion,Mouse,5538963
SCN1AMutation,interactsWith,FebrileSeizures,Discussion,Mouse,5538963
GenotypeEnvironmentInteraction,exacerbates,EpilepsyOutcome,Discussion,Mouse,5538963
FebrileSeizurePrevention,mayImprove,DravetSyndromeOutcome,Discussion,Mouse,5538963
EarlyIntervention,modifies,DiseaseTrajectory,Discussion,Mouse,5538963
SeizureControlInInfancy,reduces,LongTermEpilepsyBurden,Discussion,Mouse,5538963
Hippocampus,exhibits,Hyperexcitability,Results,Mouse,5538963
Hippocampus,exhibits,EpileptiformActivity,Results,Mouse,5538963
Hippocampus,exhibits,NetworkInstability,Results,Mouse,5538963
CA3Region,exhibits,Hyperexcitability,Results,Mouse,5538963
CA3Region,exhibits,EpileptiformActivity,Results,Mouse,5538963
CA3Region,exhibits,NetworkInstability,Results,Mouse,5538963
DentateGyrus,exhibits,Hyperexcitability,Results,Mouse,5538963
DentateGyrus,exhibits,EpileptiformActivity,Results,Mouse,5538963
DentateGyrus,exhibits,NetworkInstability,Results,Mouse,5538963
InterneuronDysfunction,leadsTo,Disinhibition,Discussion,Mouse,5538963
Disinhibition,leadsTo,Hyperexcitability,Discussion,Mouse,5538963
Hyperexcitability,leadsTo,SeizureGeneration,Discussion,Mouse,5538963
SeizureGeneration,leadsTo,DiseaseProgression,Discussion,Mouse,5538963
DravetSyndrome,isCausedBy,SCN1AMutation,Introduction,Mouse,7404236
SCN1A,encodes,Nav1_1VoltageGatedSodiumChannel,Introduction,Mouse,7404236
Nav1_1VoltageGatedSodiumChannel,isHighlyExpressedIn,GABAergicInterneurons,Introduction,Mouse,7404236
SCN1AMutation,reduces,InterneuronExcitability,Introduction,Mouse,7404236
ReducedInterneuronExcitability,leadsTo,NetworkDisinhibition,Introduction,Mouse,7404236
NetworkDisinhibition,contributesTo,Epileptogenesis,Introduction,Mouse,7404236
Scn1aMutantMouse,models,DravetSyndrome,Methods,Mouse,7404236
WholeCellPatchClamp,measures,IntrinsicMembraneProperties,Methods,Mouse,7404236
HippocampalSlice,isPreparedFrom,Scn1aMutantMouse,Methods,Mouse,7404236
ElectrophysiologyRecording,targets,CA1PyramidalNeuron,Methods,Mouse,7404236
ElectrophysiologyRecording,targets,CA3PyramidalNeuron,Methods,Mouse,7404236
ElectrophysiologyRecording,targets,FastSpikingInterneurons,Methods,Mouse,7404236
SCN1AMutation,alters,RestingMembranePotential,Results,Mouse,7404236
SCN1AMutation,alters,InputResistance,Results,Mouse,7404236
SCN1AMutation,alters,ActionPotentialThreshold,Results,Mouse,7404236
SCN1AMutation,alters,ActionPotentialAmplitude,Results,Mouse,7404236
SCN1AMutation,alters,AfterHyperpolarizationAmplitude,Results,Mouse,7404236
SCN1AMutation,alters,FiringFrequency,Results,Mouse,7404236
SCN1AMutation,reduces,FastSpikingInterneuronFiring,Results,Mouse,7404236
FastSpikingInterneuronDysfunction,reduces,InhibitoryTone,Results,Mouse,7404236
ReducedInhibitoryTone,increases,NetworkExcitability,Results,Mouse,7404236
CA1PyramidalNeuron,shows,IncreasedExcitability,Results,Mouse,7404236
CA3PyramidalNeuron,shows,BurstFiring,Results,Mouse,7404236
BurstFiring,facilitates,EpileptiformDischarge,Results,Mouse,7404236
SCN1AMutation,reduces,InhibitorySynapticTransmission,Results,Mouse,7404236
ReducedInhibitorySynapticTransmission,increases,ExcitationInhibitionImbalance,Results,Mouse,7404236
ExcitationInhibitionImbalance,drives,Hyperexcitability,Results,Mouse,7404236
SCN1AMutation,increases,EpileptiformActivity,Results,Mouse,7404236
SCN1AMutation,increases,NetworkSynchrony,Results,Mouse,7404236
SCN1AMutation,increases,SeizureSusceptibility,Results,Mouse,7404236
SCN1AMutation,increases,Hyperexcitability,Results,Mouse,7404236
InterneuronFailure,isPrimaryDriverOf,DravetSyndromePathophysiology,Discussion,Mouse,7404236
Nav1_1Loss,preferentiallyImpairs,GABAergicInterneurons,Discussion,Mouse,7404236
Disinhibition,propagates,NetworkLevelDysfunction,Discussion,Mouse,7404236
ElectrophysiologicalAlterations,emergeDuring,EarlyDevelopment,Discussion,Mouse,7404236
DevelopmentalTiming,modulates,DiseaseSeverity,Discussion,Mouse,7404236
EnhancingInhibition,mayReduce,SeizureBurden,Discussion,Mouse,7404236
TargetingInterneurons,represents,TherapeuticStrategy,Discussion,Mouse,7404236
FastSpikingInterneuron,exhibitsAlterationIn,RestingMembranePotential,Results,Mouse,7404236
FastSpikingInterneuron,exhibitsAlterationIn,InputResistance,Results,Mouse,7404236
FastSpikingInterneuron,exhibitsAlterationIn,ActionPotentialThreshold,Results,Mouse,7404236
FastSpikingInterneuron,exhibitsAlterationIn,ActionPotentialAmplitude,Results,Mouse,7404236
FastSpikingInterneuron,exhibitsAlterationIn,AfterHyperpolarizationAmplitude,Results,Mouse,7404236
FastSpikingInterneuron,exhibitsAlterationIn,FiringFrequency,Results,Mouse,7404236
CA1PyramidalNeuron,exhibitsAlterationIn,RestingMembranePotential,Results,Mouse,7404236
CA1PyramidalNeuron,exhibitsAlterationIn,InputResistance,Results,Mouse,7404236
CA1PyramidalNeuron,exhibitsAlterationIn,ActionPotentialThreshold,Results,Mouse,7404236
CA1PyramidalNeuron,exhibitsAlterationIn,ActionPotentialAmplitude,Results,Mouse,7404236
CA1PyramidalNeuron,exhibitsAlterationIn,AfterHyperpolarizationAmplitude,Results,Mouse,7404236
CA1PyramidalNeuron,exhibitsAlterationIn,FiringFrequency,Results,Mouse,7404236
CA3PyramidalNeuron,exhibitsAlterationIn,RestingMembranePotential,Results,Mouse,7404236
CA3PyramidalNeuron,exhibitsAlterationIn,InputResistance,Results,Mouse,7404236
CA3PyramidalNeuron,exhibitsAlterationIn,ActionPotentialThreshold,Results,Mouse,7404236
CA3PyramidalNeuron,exhibitsAlterationIn,ActionPotentialAmplitude,Results,Mouse,7404236
CA3PyramidalNeuron,exhibitsAlterationIn,AfterHyperpolarizationAmplitude,Results,Mouse,7404236
CA3PyramidalNeuron,exhibitsAlterationIn,FiringFrequency,Results,Mouse,7404236
SCN1AMutation,leadsTo,InterneuronDysfunction,Discussion,Mouse,7404236
InterneuronDysfunction,leadsTo,Disinhibition,Discussion,Mouse,7404236
Disinhibition,leadsTo,NetworkHyperexcitability,Discussion,Mouse,7404236
NetworkHyperexcitability,leadsTo,SeizureGeneration,Discussion,Mouse,7404236
DravetSyndrome,isA,GeneticEpilepticEncephalopathy,Introduction,Human,6261486
DravetSyndrome,hasAlternativeName,SevereMyoclonicEpilepsyOfInfancy,Introduction,Human,6261486
DravetSyndrome,hasIncreasedRiskOf,SUDEP,Introduction,Human,6261486
DravetSyndrome,hasInitialSeizureType,FebrileSeizure,Introduction,Human,6261486
DravetSyndrome,hasInitialSeizureType,HemiclonicSeizure,Introduction,Human,6261486
DravetSyndrome,hasInitialSeizureType,GeneralizedClonicSeizure,Introduction,Human,6261486
DravetSyndrome,progressesToInclude,MyoclonicSeizure,Introduction,Human,6261486
DravetSyndrome,progressesToInclude,FocalSeizure,Introduction,Human,6261486
DravetSyndrome,progressesToInclude,AtypicalAbsenceSeizure,Introduction,Human,6261486
DravetSyndrome,hasDiseaseStage,FebrileStage,Introduction,Human,6261486
DravetSyndrome,hasDiseaseStage,WorseningStage,Introduction,Human,6261486
DravetSyndrome,hasDiseaseStage,StabilizationStage,Introduction,Human,6261486
SCN1A,isMajorCausalGeneOf,DravetSyndrome,Introduction,Human,6261486
SCN1AVariant,isTypically,DeNovo,Introduction,Human,6261486
SCN1A,encodes,VoltageGatedSodiumChannelAlphaSubunit,Introduction,Human,6261486
SodiumChannelBlockers,areContraindicatedIn,DravetSyndrome,Introduction,Human,6261486
Carbamazepine,worsens,DravetSyndrome,Introduction,Human,6261486
Oxcarbazepine,worsens,DravetSyndrome,Introduction,Human,6261486
Lamotrigine,worsens,DravetSyndrome,Introduction,Human,6261486
ChronicBenzodiazepineUse,mayCause,Encephalopathy,Introduction,Human,6261486
TargetedSequencing,usesPlatform,IonTorrentPGM,Methods,Human,6261486
TargetedSequencing,usesPlatform,IlluminaHiSeq,Methods,Human,6261486
VariantClassification,followsGuideline,ACMGAMP,Methods,Human,6261486
SouthAfricanDravetSyndrome,isMostlyCausedBy,SCN1AVariants,Results,Human,6261486
SCN1AVariants,accountForMajorityOf,ConfirmedDravetSyndrome,Results,Human,6261486
PCDH19Variant,canCause,DravetLikeEpilepsy,Results,Human,6261486
SCN1AVariants,includeType,MissenseVariant,Results,Human,6261486
SCN1AVariants,includeType,FrameshiftVariant,Results,Human,6261486
SCN1AVariants,includeType,NonsenseVariant,Results,Human,6261486
AgeAtSeizureOnsetBefore6Months,predicts,SCN1AAssociatedDravetSyndrome,Results,Human,6261486
ClinicalDSRiskScoreGreaterThan6,predicts,SCN1AAssociatedDravetSyndrome,Results,Human,6261486
ClinicalDSRiskScore,correlatesWith,DiagnosticConfidence,Results,Human,6261486
EarlySeizureOnset,increasesProbabilityOf,DravetSyndrome,Results,Human,6261486
SCN1AAssociatedDravetSyndrome,isAssociatedWith,ProlongedFebrileSeizures,Results,Human,6261486
SCN1AAssociatedDravetSyndrome,isAssociatedWith,StatusEpilepticus,Results,Human,6261486
SCN1AAssociatedDravetSyndrome,isAssociatedWith,MyoclonicSeizures,Results,Human,6261486
SCN1AAssociatedDravetSyndrome,isAssociatedWith,FocalSeizures,Results,Human,6261486
SCN1AAssociatedDravetSyndrome,increasesRiskOf,DevelopmentalDelay,Results,Human,6261486
SCN1AAssociatedDravetSyndrome,increasesRiskOf,SpeechImpairment,Results,Human,6261486
SCN1AAssociatedDravetSyndrome,increasesRiskOf,BehavioralAbnormalities,Results,Human,6261486
SCN1AAssociatedDravetSyndrome,increasesRiskOf,AutismSpectrumDisorder,Results,Human,6261486
SCN1AAssociatedDravetSyndrome,requires,Polytherapy,Results,Human,6261486
Polytherapy,isMoreCommonThan,Monotherapy,Results,Human,6261486
KetogenicDiet,isUsedIn,DrugResistantDravetSyndrome,Results,Human,6261486
NegativeGeneticTest,prompts,ClinicalReevaluation,Results,Human,6261486
ClinicalReevaluation,leadsTo,RevisedDiagnosis,Results,Human,6261486
RevisedDiagnosis,oftenIncludes,FebrileSeizuresPlus,Results,Human,6261486
DravetSyndromeInAfrica,isA,Underdiagnosed,Discussion,Human,6261486
LimitedGeneticTesting,contributesTo,Underdiagnosis,Discussion,Human,6261486
LackOfAwareness,delays,CorrectDiagnosis,Discussion,Human,6261486
ResourceLimitedSettings,require,SimpleDiagnosticCriteria,Discussion,Human,6261486
AgeAtSeizureOnset,isA,LowCostDiagnosticMarker,Discussion,Human,6261486
ClinicalDSRiskScore,supports,EarlyReferral,Discussion,Human,6261486
EarlyDiagnosis,enables,PrecisionMedicine,Discussion,Human,6261486
EarlyDiagnosis,improves,ClinicalOutcome,Discussion,Human,6261486
GeneticTesting,provides,DiagnosticClosure,Discussion,Human,6261486
DiagnosticClosure,supports,GeneticCounseling,Discussion,Human,6261486
GeneticConfirmation,guides,TreatmentSelection,Discussion,Human,6261486
PrecisionMedicine,isApplicableIn,DravetSyndrome,Discussion,Human,6261486
DravetSyndrome,isCausedBy,SCN1ALossOfFunction,Introduction,Mouse,6125809
SCN1A,encodes,Nav1_1VoltageGatedSodiumChannel,Introduction,Mouse,6125809
Nav1_1VoltageGatedSodiumChannel,isRequiredFor,GABAergicInterneuronExcitability,Introduction,Mouse,6125809
ReducedNav1_1Function,impairs,GABAergicInterneuronFiring,Introduction,Mouse,6125809
ImpairedInterneuronFiring,leadsTo,NetworkDisinhibition,Introduction,Mouse,6125809
NetworkDisinhibition,leadsTo,Epileptogenesis,Introduction,Mouse,6125809
Nav1_1Expression,follows,DevelopmentalTrajectory,Introduction,Mouse,6125809
EarlyPostnatalPeriod,represents,CriticalDevelopmentalWindow,Introduction,Mouse,6125809
CriticalDevelopmentalWindow,supports,InterneuronMaturation,Introduction,Mouse,6125809
InterneuronMaturation,supports,StableNeuralCircuitFormation,Introduction,Mouse,6125809
ConditionalScn1aSuppression,induces,TransientNav1_1Reduction,Methods,Mouse,6125809
TransientNav1_1Reduction,occursDuring,EarlyPostnatalPeriod,Methods,Mouse,6125809
TransientNav1_1Reduction,spares,LaterNav1_1Expression,Methods,Mouse,6125809
TransientNav1_1Reduction,causes,SpontaneousSeizures,Results,Mouse,6125809
TransientNav1_1Reduction,increases,SeizureSusceptibility,Results,Mouse,6125809
IncreasedSeizureSusceptibility,persistsInto,Adulthood,Results,Mouse,6125809
TransientNav1_1Reduction,reduces,InterneuronFiringRate,Results,Mouse,6125809
ReducedInterneuronFiringRate,impairs,InhibitorySynapticTransmission,Results,Mouse,6125809
ImpairedInhibitoryTransmission,produces,ExcitationInhibitionImbalance,Results,Mouse,6125809
ExcitationInhibitionImbalance,drives,NetworkHyperexcitability,Results,Mouse,6125809
NetworkHyperexcitability,produces,EpileptiformActivity,Results,Mouse,6125809
EpileptiformActivity,localizesTo,Hippocampus,Results,Mouse,6125809
EpileptiformActivity,localizesTo,Neocortex,Results,Mouse,6125809
AdultNav1_1Restoration,failsToReverse,SeizurePhenotype,Results,Mouse,6125809
AdultNav1_1Restoration,failsToNormalize,NetworkExcitability,Results,Mouse,6125809
EarlyCircuitDisruption,produces,PersistentNetworkAbnormalities,Results,Mouse,6125809
TransientNav1_1Reduction,causes,CognitiveImpairment,Results,Mouse,6125809
TransientNav1_1Reduction,causes,SocialBehaviorDeficits,Results,Mouse,6125809
CognitiveImpairment,persistsInto,Adulthood,Results,Mouse,6125809
SocialBehaviorDeficits,persistInto,Adulthood,Results,Mouse,6125809
TransientDevelopmentalNav1_1Deficiency,defines,CriticalPeriodForEpileptogenesis,Discussion,Mouse,6125809
CriticalPeriodForEpileptogenesis,determines,AdultSeizureOutcome,Discussion,Mouse,6125809
CriticalPeriodForEpileptogenesis,determines,NeurodevelopmentalOutcome,Discussion,Mouse,6125809
InterneuronMaturationFailure,drives,PermanentCircuitReorganization,Discussion,Mouse,6125809
EarlyLifeNav1_1Deficiency,isSufficientFor,DravetLikePhenotype,Discussion,Mouse,6125809
DravetLikePhenotype,includes,Epilepsy,Discussion,Mouse,6125809
DravetLikePhenotype,includes,CognitiveImpairment,Discussion,Mouse,6125809
GeneRestoration,requiresTimingWithin,CriticalPeriodForEpileptogenesis,Discussion,Mouse,6125809
DelayedGeneRestoration,exhibits,LimitedTherapeuticEfficacy,Discussion,Mouse,6125809
EarlyIntervention,produces,DiseaseModification,Discussion,Mouse,6125809
Hippocampus,exhibits,Hyperexcitability,Results,Mouse,6125809
Hippocampus,exhibits,EpileptiformActivity,Results,Mouse,6125809
Hippocampus,exhibits,CircuitDisorganization,Results,Mouse,6125809
Neocortex,exhibits,Hyperexcitability,Results,Mouse,6125809
Neocortex,exhibits,EpileptiformActivity,Results,Mouse,6125809
Neocortex,exhibits,CircuitDisorganization,Results,Mouse,6125809
TransientNav1_1Reduction,leadsTo,InterneuronHypoexcitability,Discussion,Mouse,6125809
InterneuronHypoexcitability,leadsTo,ExcitationInhibitionImbalance,Discussion,Mouse,6125809
ExcitationInhibitionImbalance,leadsTo,NetworkHyperexcitability,Discussion,Mouse,6125809
NetworkHyperexcitability,leadsTo,ChronicEpilepsy,Discussion,Mouse,6125809
DravetSyndrome,isCausedBy,SCN1ALossOfFunction,Introduction,Mouse,6629374
SCN1ALossOfFunction,impairs,GABAergicInterneuronFunction,Introduction,Mouse,6629374
InterneuronDysfunction,produces,NetworkHyperexcitability,Introduction,Mouse,6629374
NetworkHyperexcitability,leadsTo,SeizureGeneration,Introduction,Mouse,6629374
VIPExpressingInterneurons,formSubtypeOf,GABAergicInterneurons,Introduction,Mouse,6629374
VIPInterneurons,primarilyTarget,OtherInterneurons,Introduction,Mouse,6629374
VIPInterneurons,modulate,DisinhibitoryCircuitry,Introduction,Mouse,6629374
DisinhibitoryCircuitry,regulates,CorticalExcitability,Introduction,Mouse,6629374
VIPInterneurons,areActivatedDuring,BehavioralStateTransitions,Introduction,Mouse,6629374
Scn1aHeterozygousMutation,models,DravetSyndrome,Methods,Mouse,6629374
VIPInterneurons,areIdentifiedBy,VIPExpression,Methods,Mouse,6629374
OptogeneticManipulation,modulates,VIPInterneuronActivity,Methods,Mouse,6629374
InVivoElectrophysiology,records,CorticalNetworkActivity,Methods,Mouse,6629374
CalciumImaging,captures,PopulationNeuronalDynamics,Methods,Mouse,6629374
BehavioralParadigms,engage,StateDependentNetworkActivity,Methods,Mouse,6629374
Scn1aMutation,reduces,VIPInterneuronExcitability,Results,Mouse,6629374
VIPInterneuronHypoexcitability,reduces,DisinhibitoryControl,Results,Mouse,6629374
ReducedDisinhibitoryControl,alters,CorticalNetworkBalance,Results,Mouse,6629374
VIPInterneurons,show,ReducedActionPotentialFiring,Results,Mouse,6629374
VIPInterneurons,show,AlteredIntrinsicMembraneProperties,Results,Mouse,6629374
VIPInterneuronDysfunction,reduces,InterneuronInterneuronInhibition,Results,Mouse,6629374
ReducedInterneuronInhibition,increases,PyramidalNeuronInhibition,Results,Mouse,6629374
AlteredInhibitoryBalance,impairs,NetworkFlexibility,Results,Mouse,6629374
NetworkFlexibility,supports,BehavioralStateTransitions,Results,Mouse,6629374
VIPInterneuronActivity,normallyIncreasesDuring,ActiveBehavior,Results,Mouse,6629374
Scn1aMutation,blunts,StateDependentVIPRecruitment,Results,Mouse,6629374
BluntedVIPRecruitment,impairs,StateDependentDisinhibition,Results,Mouse,6629374
VIPInterneuronDysfunction,contributesTo,SeizureSusceptibility,Results,Mouse,6629374
DisruptedDisinhibitoryCircuitry,facilitates,SeizureInitiation,Results,Mouse,6629374
VIPInterneuronFailure,represents,CellTypeSpecificVulnerability,Discussion,Mouse,6629374
DisinhibitoryCircuitDeficit,addsTo,DravetNetworkPathophysiology,Discussion,Mouse,6629374
InterneuronSubtypeDiversity,explains,HeterogeneousNetworkDeficits,Discussion,Mouse,6629374
VIPInterneurons,link,BehavioralState,Discussion,Mouse,6629374
VIPInterneurons,link,NetworkExcitability,Discussion,Mouse,6629374
CellTypeTargetedTherapy,mayRestore,DisinhibitoryControl,Discussion,Mouse,6629374
VIPCircuitModulation,offers,NovelTherapeuticTarget,Discussion,Mouse,6629374
StateDependentNetworkDeficits,complicate,SeizureManagement,Discussion,Mouse,6629374
DravetSyndrome,hasDiseaseCategory,CatastrophicEpilepsy,Introduction,Human,7193054
DravetSyndrome,hasAgeOfOnset,Infancy,Introduction,Human,7193054
DravetSyndrome,hasClinicalFeature,DrugResistantSeizures,Introduction,Human,7193054
DravetSyndrome,hasClinicalFeature,CognitiveImpairment,Introduction,Human,7193054
DravetSyndrome,hasClinicalFeature,BehavioralAbnormalities,Introduction,Human,7193054
DravetSyndrome,hasRiskFactor,SUDEP,Introduction,Human,7193054
DravetSyndrome,associatedWithGene,SCN1A,Introduction,Human,7193054
SCN1A,hasMutationType,LossOfFunctionMutation,Introduction,Human,7193054
SCN1A,encodes,VoltageGatedSodiumChannel,Introduction,Human,7193054
ConventionalAntiepilepticDrugs,hasLimitedEfficacyIn,DravetSyndrome,Introduction,Human,7193054
EarlyAntiepilepticDrugExposure,associatedWith,AdverseDevelopmentalEffects,Introduction,Human,7193054
EndocannabinoidSystem,hasComponent,CB1Receptor,Introduction,Human,7193054
EndocannabinoidSystem,hasComponent,CB2Receptor,Introduction,Human,7193054
CB1Receptor,hasMolecularType,GProteinCoupledReceptor,Introduction,Human,7193054
CB2Receptor,hasMolecularType,GProteinCoupledReceptor,Introduction,Human,7193054
EndocannabinoidSystem,modulates,SeizureActivity,Introduction,Human,7193054
Cannabidiol,targets,EndocannabinoidSystem,Introduction,Human,7193054
Cannabidiol,hasTherapeuticEffect,AnticonvulsantEffect,Introduction,Human,7193054
Cannabidiol,reduces,SeizureFrequency,Introduction,Human,7193054
Cannabidiol,approvedFor,DravetSyndrome,Introduction,Human,7193054
SyntheticCannabinoids,bindsTo,CannabinoidReceptors,Introduction,Human,7193054
SyntheticCannabinoids,engineeredFor,HighReceptorAffinity,Introduction,Human,7193054
SyntheticCannabinoids,hasResearchUse,PreclinicalScreening,Introduction,Human,7193054
SyntheticCannabinoids,hasRegulatoryStatus,NotScheduleIForResearch,Introduction,Human,7193054
scn1labMutantZebrafish,models,DravetSyndrome,Methods,Zebrafish,7193054
scn1labMutantZebrafish,hasGeneticAlteration,scn1labHomozygousMutation,Methods,Zebrafish,7193054
scn1labMutantZebrafish,exhibits,SpontaneousSeizures,Methods,Zebrafish,7193054
scn1labMutantZebrafish,exhibits,ElectrographicSeizureActivity,Methods,Zebrafish,7193054
scn1labMutantZebrafish,exhibits,BehavioralSeizurePhenotype,Methods,Zebrafish,7193054
scn1labMutantZebrafish,exhibits,MetabolicDeficit,Methods,Zebrafish,7193054
scn1labMutantZebrafish,exhibits,EarlyMortality,Methods,Zebrafish,7193054
scn1labMutantZebrafish,exhibits,SleepDisturbance,Methods,Zebrafish,7193054
ZebrafishModel,supports,LargeScaleDrugScreening,Methods,Zebrafish,7193054
ZebrafishModel,hasTranslationalRelevance,HumanEpilepsy,Methods,Zebrafish,7193054
PhenotypeBasedScreening,usesModel,scn1labMutantZebrafish,Methods,Zebrafish,7193054
PhenotypeBasedScreening,usesAssay,LocomotionAssay,Methods,Zebrafish,7193054
PhenotypeBasedScreening,usesAssay,ElectrophysiologyAssay,Methods,Zebrafish,7193054
LocomotionAssay,detects,SeizureLikeSwimBehavior,Methods,Zebrafish,7193054
ElectrophysiologyAssay,detects,EpileptiformEvents,Methods,Zebrafish,7193054
SyntheticCannabinoidLibrary,hasCompoundCount,370,Methods,Zebrafish,7193054
SyntheticCannabinoidLibrary,contains,SyntheticCannabinoids,Methods,Zebrafish,7193054
SyntheticCannabinoids,screenedFor,AntiseizureActivity,Methods,Zebrafish,7193054
SyntheticCannabinoids,modulates,SeizureLikeBehavior,Results,Zebrafish,7193054
SyntheticCannabinoids,modulates,ElectrographicSeizures,Results,Zebrafish,7193054
SyntheticCannabinoids,hasVariableEffect,ProconvulsantActivity,Results,Zebrafish,7193054
SyntheticCannabinoids,hasVariableEffect,AnticonvulsantActivity,Results,Zebrafish,7193054
PhenotypeBasedScreening,identifies,AntiseizureCompounds,Results,Zebrafish,7193054
TwoStageScreening,increases,HitSpecificity,Results,Zebrafish,7193054
JWH018N5ChloropentylAnalog,hasChemicalClass,IndoleBasedCannabinoid,Results,Zebrafish,7193054
JWH018N5ChloropentylAnalog,hasEffect,SeizureSuppression,Results,Zebrafish,7193054
JWH018N2MethylbutylIsomer,hasChemicalClass,IndoleBasedCannabinoid,Results,Zebrafish,7193054
JWH018N2MethylbutylIsomer,hasEffect,SeizureSuppression,Results,Zebrafish,7193054
FluoroPB225HydroxyisoquinolineIsomer,hasChemicalClass,IndoleBasedCannabinoid,Results,Zebrafish,7193054
FluoroPB225HydroxyisoquinolineIsomer,hasEffect,SeizureSuppression,Results,Zebrafish,7193054
FluoroADBICA,hasChemicalClass,IndoleBasedCannabinoid,Results,Zebrafish,7193054
FluoroADBICA,hasEffect,SeizureSuppression,Results,Zebrafish,7193054
ABFUBINACA3FluorobenzylIsomer,hasChemicalClass,IndazoleBasedCannabinoid,Results,Zebrafish,7193054
ABFUBINACA3FluorobenzylIsomer,hasEffect,SeizureSuppression,Results,Zebrafish,7193054
IdentifiedSyntheticCannabinoids,shareStructuralFeature,IndoleOrIndazoleScaffold,Results,Zebrafish,7193054
SyntheticCannabinoids,bindsTo,CB1Receptor,Discussion,Zebrafish,7193054
SyntheticCannabinoids,bindsTo,CB2Receptor,Discussion,Zebrafish,7193054
SyntheticCannabinoids,interactsWith,VoltageGatedSodiumChannels,Discussion,Zebrafish,7193054
SyntheticCannabinoids,interactsWith,VoltageGatedPotassiumChannels,Discussion,Zebrafish,7193054
SyntheticCannabinoids,interactsWith,CalciumChannels,Discussion,Zebrafish,7193054
SyntheticCannabinoids,interactsWith,GPR55,Discussion,Zebrafish,7193054
IndoleDerivedCannabinoids,bindsTo,Serotonin2BReceptor,Discussion,Zebrafish,7193054
Serotonin2BReceptor,hasRoleIn,SeizureModulation,Discussion,Zebrafish,7193054
Serotonin2BReceptor,representsPotentialTargetFor,DravetSyndrome,Discussion,Human,7193054
ZebrafishModel,predicts,ClinicalAntiseizureEfficacy,Discussion,Zebrafish,7193054
ZebrafishDrugScreening,supports,TherapeuticTargetDiscovery,Discussion,Zebrafish,7193054
SyntheticCannabinoids,associatedWith,NeuropsychiatricAdverseEffects,Discussion,Human,7193054
SyntheticCannabinoids,associatedWith,SeizureInductionInHumans,Discussion,Human,7193054
SyntheticCannabinoids,notIntendedFor,HumanTherapeuticUse,Discussion,Human,7193054
DravetSyndrome,hasDiseaseSeverity,SevereEpilepticEncephalopathy,Introduction,Human,9035525
DravetSyndrome,hasAlternativeName,SevereMyoclonicEpilepsyOfInfancy,Introduction,Human,9035525
DravetSyndrome,hasClinicalFeature,IntractableSeizures,Introduction,Human,9035525
DravetSyndrome,hasClinicalFeature,CognitiveDysfunction,Introduction,Human,9035525
DravetSyndrome,hasClinicalFeature,SocialDysfunction,Introduction,Human,9035525
DravetSyndrome,hasClinicalFeature,Ataxia,Introduction,Human,9035525
DravetSyndrome,hasRiskFactor,PrematureMortality,Introduction,Human,9035525
DravetSyndrome,associatedWithGene,Scn1a,Introduction,Human,9035525
Scn1a,hasMutationType,LossOfFunctionMutation,Introduction,Human,9035525
Scn1a,encodes,Nav1.1,Introduction,Human,9035525
Nav1.1,expressedIn,ParvalbuminInterneurons,Introduction,Human,9035525
Nav1.1LossOfFunction,impairs,ParvalbuminInterneuronFiring,Introduction,Human,9035525
ParvalbuminInterneuronDysfunction,contributesTo,Seizures,Introduction,Human,9035525
