s	p	o
n6776	p1694	n7245
n6776	p1694	n18471
n6776	p3023	n8825
n6776	p3299	n4754
n6776	p3299	n19044
n6776	p3299	n11311
n21065	p4012	n1282
n3458	p4012	n1282
n2655	p4012	n1282
n10541	p4012	n1282
n20406	p4012	n1282
n21670	p4012	n1282
n14320	p4012	n1282
n3482	p4012	n1282
n2235	p4012	n1282
n14907	p4012	n1282
n10385	p4012	n1282
n2774	p4012	n1282
n13744	p4012	n1282
n10396	p4012	n1282
n10255	p4012	n4753
n7721	p2976	n14707
n7721	p2976	n21417
n7721	p2976	n6590
n7721	p2976	n19655
n7721	p2976	n11331
n7721	p3686	n11602
n11602	p2526	n11331
n11602	p4293	n17785
n7721	p2014	n11327
n7721	p2014	n13459
n7721	p2014	n13717
n7721	p2014	n15589
n7721	p2014	n17785
n7721	p3666	n8826
n7721	p1226	n14369
n7721	p1226	n10756
n14369	p1694	n14384
n14369	p1694	n14387
n14369	p1694	n14647
n10756	p1694	n8145
n10756	p1694	n20682
n10756	p1694	n14385
n10756	p1694	n14386
n10756	p1694	n6472
n14387	p3749	n1211
n14647	p3749	n10052
n6776	p232	n11147
n11147	p2108	n11787
n11147	p2108	n11835
n6776	p2108	n4463
n6776	p2108	n1406
n19655	p2108	n1407
n19291	p232	n6776
n19291	p232	n4693
n19291	p232	n9080
n9080	p232	n5418
n5418	p3299	n7721
n1290	p2108	n6776
n19337	p2108	n7721
n1286	p520	n6777
n20406	p665	n1334
n19337	p665	n1334
n10255	p665	n1334
n20406	p232	n21417
n19337	p232	n21417
n2655	p232	n21417
n10255	p232	n21417
n21065	p232	n8958
n8958	p1694	n21365
n8958	p1694	n14707
n1286	p3765	n21073
n6776	p162	n5142
n5142	p1694	n12078
n7721	p2455	n5142
n6776	p356	n1320
n6776	p1351	n12035
n1294	p3148	n6776
n1294	p3148	n7724
n6776	p3123	n18041
n6776	p3123	n13715
n19291	p331	n10774
n10774	p2034	n6776
n16600	p3237	n6776
n6776	p1945	n8825
n6776	p1945	n21417
n21417	p232	n10879
n12781	p2084	n11147
n11147	p3136	n802
n2844	p2484	n7721
n2839	p3007	n7723
n2839	p3743	n5245
n4401	p280	n3074
n4401	p280	n15441
n4466	p2108	n11147
n4466	p2108	n4463
n4466	p2108	n1406
n4466	p2108	n19485
n7722	p3666	n1612
n19790	p4012	n11108
n12802	p2108	n14797
n2868	p2754	n7721
n7721	p2014	n2873
n7721	p3666	n11232
n7721	p883	n13313
n7721	p992	n1284
n1284	p2014	n17785
n6776	p194	n5142
n6776	p3353	n4644
n19762	p3148	n6776
n4894	p3148	n6776
n3406	p3906	n6776
n3406	p3900	n21413
n3406	p3900	n2071
n3406	p3900	n8204
n16623	p3863	n6776
n12029	p3895	n19045
n12029	p3895	n4755
n11331	p4291	n14707
n11332	p232	n7724
n7721	p3869	n6776
n5142	p1694	n14470
n5142	p1694	n7817
n7817	p1315	n10737
n10737	p1218	n19291
n19291	p1761	n9632
n19291	p1761	n11496
n7817	p1694	n10553
n7817	p1694	n4678
n7817	p3666	n15589
n2839	p3666	n15589
n18850	p1351	n17756
n2774	p4012	n18850
n10396	p4012	n18850
n2774	p1351	n17756
n10396	p1351	n17756
n19337	p1728	n5142
n19337	p1157	n14455
n19337	p1157	n14454
n17302	p1389	n15729
n17303	p1389	n15729
n5171	p1694	n6943
n5171	p1694	n13364
n5171	p1694	n13335
n5171	p1694	n1500
n5171	p1694	n12182
n5171	p1494	n7816
n5171	p1694	n15482
n14604	p1389	n3689
n19337	p1389	n757
n19337	p1157	n21065
n19337	p1157	n3458
n21065	p1389	n3801
n3458	p1389	n3801
n4737	p1389	n16420
n15248	p1389	n14392
n7817	p1389	n15153
n522	p1389	n10526
n12205	p1389	n10526
n20596	p1389	n17890
n16501	p1389	n3445
n17855	p1389	n3722
n13607	p1389	n3905
n824	p1389	n17366
n19337	p1389	n7819
n19337	p1389	n15753
n15753	p1105	n5661
n19337	p1389	n19635
n19337	p2090	n17845
n19337	p1389	n10799
n13607	p1389	n11099
n13607	p2014	n17798
n19337	p1389	n17858
n19337	p1389	n15247
n19337	p1389	n3447
n19337	p1389	n832
n19337	p1389	n18973
n19337	p1389	n1158
n19337	p1389	n21414
n19337	p1389	n8964
n19337	p1389	n912
n19337	p1389	n1469
n19291	p1218	n18199
n955	p1694	n7997
n7997	p1351	n20607
n20607	p1389	n20599
n21072	p1389	n823
n3469	p1389	n823
n19337	p1389	n11175
n11175	p1389	n16503
n11175	p1389	n15245
n11175	p1389	n17856
n15753	p1389	n3367
n19337	p1389	n16277
n16277	p3666	n19308
n16234	p3666	n5861
n16025	p3666	n16422
n9543	p2014	n15589
n10799	p2014	n3555
n19337	p1389	n541
n834	p1351	n9524
n3803	p1389	n835
n10791	p1389	n19651
n5653	p2014	n10764
n5142	p232	n6857
n5226	p3655	n17402
n5461	p4123	n17991
n6832	p3493	n17747
n7372	p232	n10366
n7372	p232	n21563
n7398	p500	n9054
n7398	p1489	n9724
n7702	p665	n5406
n9007	p3493	n17747
n9740	p500	n15889
n9740	p1373	n10832
n9740	p1373	n20024
n10832	p3367	n15061
n12325	p3023	n9055
n12341	p1605	n10833
n15061	p1639	n15056
n15889	p2121	n10947
n16732	p1819	n15636
n16858	p1605	n10833
n17596	p3269	n5142
n20024	p3492	n17966
n20230	p2090	n5406
n633	p492	n9004
n634	p492	n10947
n5142	p3666	n7380
n5142	p1135	n16858
n5142	p1398	n12341
n5142	p1694	n4687
n6678	p665	n5406
n9003	p500	n18195
n9055	p3023	n16086
n10946	p232	n10876
n10946	p500	n18178
n15063	p4123	n17991
n16086	p3023	n3284
n17747	p1661	n9003
n17747	p1661	n10946
n10946	p1841	n7699
n4645	p4012	n8405
n4645	p1105	n5618
n4645	p1564	n18369
n4645	p2603	n5750
n4645	p1694	n4674
n4674	p1389	n21568
n4674	p2526	n6024
n4645	p1694	n20170
n4645	p1694	n8026
n4645	p1694	n9861
n4645	p1694	n3656
n4645	p1218	n13662
n4645	p1218	n4809
n4645	p1218	n8207
n19929	p2014	n17785
n19929	p2014	n4688
n19929	p2014	n3666
n4645	p1135	n2453
n4645	p1135	n16732
n4645	p1135	n10202
n4645	p1135	n13795
n4645	p1135	n7562
n4645	p1135	n17186
n4645	p1135	n17203
n4645	p1694	n8675
n8675	p560	n5566
n8675	p560	n20354
n8312	p1389	n3851
n8312	p3666	n12627
n4647	p1389	n3080
n6654	p1389	n8290
n6654	p1389	n8289
n6646	p1389	n3081
n4645	p1218	n14035
n15585	p1389	n4613
n15585	p1389	n4612
n18996	p1174	n15146
n18996	p1174	n19024
n15146	p1389	n656
n15147	p1389	n16289
n18995	p1218	n15200
n15200	p3585	n1063
n16283	p2734	n6003
n16283	p3585	n2832
n16282	p1389	n5001
n13987	p1389	n838
n11316	p1389	n838
n15503	p560	n5566
n15503	p560	n20354
n11222	p1389	n18140
n14001	p1135	n16732
n14001	p1135	n10202
n14001	p1135	n2453
n14001	p1135	n13795
n14001	p1135	n7562
n3154	p1819	n14162
n3154	p1819	n10577
n10004	p2322	n11491
n20120	p1987	n11252
n11252	p4012	n3507
n3507	p2476	n2926
n2926	p2476	n20121
n16443	p1389	n3621
n16435	p1389	n743
n9692	p1389	n10127
n3147	p1389	n10126
n14185	p992	n3890
n14097	p2526	n10617
n10617	p560	n3158
n10617	p560	n6655
n10617	p560	n11305
n10617	p560	n21537
n14001	p966	n4727
n14001	p966	n8313
n14001	p966	n4843
n14001	p966	n4308
n14001	p966	n4897
n6937	p2603	n12063
n13983	p1564	n5558
n5558	p1564	n1798
n5558	p1564	n3545
n3545	p3666	n16516
n1629	p2526	n20827
n1629	p2526	n1124
n1629	p2526	n19540
n13983	p1389	n17741
n8312	p1389	n5089
n19670	p560	n20352
n13983	p1389	n1626
n19668	p2526	n8821
n19668	p2526	n6940
n4353	p1389	n15718
n4657	p1564	n11911
n4657	p1564	n3544
n4727	p4012	n20407
n20407	p2526	n6781
n20407	p2526	n20827
n20407	p2526	n20878
n13983	p1389	n6891
n4728	p2526	n10603
n16288	p1389	n4498
n7913	p560	n4722
n13983	p1389	n17742
n15201	p1389	n10170
n13983	p1389	n17703
n9939	p1987	n5150
n4714	p1564	n18428
n4714	p2526	n10851
n4714	p2526	n21541
n13983	p2526	n6727
n4716	p3666	n20827
n4716	p2090	n7251
n4716	p1389	n4839
n4716	p560	n5867
n15502	p1389	n11123
n8124	p1389	n1898
n1897	p1389	n10171
n12815	p1389	n13652
n15747	p1389	n18460
n15747	p2014	n20545
n12815	p2014	n13994
n4711	p1389	n18402
n4711	p4012	n15277
n4711	p4012	n14648
n15277	p3666	n4718
n14648	p2526	n14008
n6283	p2526	n14006
n6283	p2526	n13985
n6283	p2526	n13984
n13983	p1389	n1420
n2883	p560	n14105
n2883	p560	n18820
n2883	p560	n21536
n2883	p2526	n8468
n2883	p2526	n18084
n13983	p2526	n1081
n13993	p1564	n12170
n12170	p560	n13988
n14038	p2526	n15054
n6937	p560	n14038
n4713	p560	n14038
n10831	p2526	n17361
n9400	p2526	n19676
n9400	p2526	n3151
n9400	p2526	n8187
n4308	p1389	n1624
n7256	p560	n18082
n13983	p1389	n14611
n13983	p2526	n3790
n3140	p560	n14553
n14553	p560	n19673
n7247	p4012	n19026
n7247	p4012	n16338
n16338	p1564	n18472
n13983	p3308	n4893
n6414	p2014	n17948
n17948	p883	n1570
n13983	p4146	n16421
n10502	p2090	n2901
n13983	p1389	n4709
n4897	p2526	n20827
n4897	p2526	n6726
n19677	p560	n15252
n504	p2526	n14010
n13983	p2526	n6731
n13983	p2526	n6733
n6411	p665	n13712
n14012	p4012	n3141
n14012	p4012	n8127
n13983	p1389	n1706
n6624	p2526	n837
n6624	p1564	n3679
n6624	p1564	n846
n4645	p1694	n5627
n4645	p1218	n12066
n3375	p560	n5655
n10596	p560	n5655
n4717	p4012	n6462
n6462	p2526	n4729
n4729	p2526	n10604
n4729	p560	n4496
n5576	p1389	n11567
n5576	p883	n1348
n4724	p1389	n5271
n7858	p1389	n3296
n7858	p1389	n6191
n7858	p1389	n4109
n7858	p1389	n11622
n7858	p1389	n11623
n4716	p3666	n8216
n4716	p3666	n13937
n8314	p2526	n13997
n18322	p560	n5867
n6660	p2014	n13986
n5687	p992	n3987
n5687	p992	n14021
n15091	p3666	n4718
n7836	p560	n4907
n13730	p2526	n18035
n13730	p560	n14005
n12978	p560	n14009
n2883	p560	n14000
n2883	p560	n18813
n2883	p560	n21533
n4842	p560	n14039
n4842	p560	n6635
n17788	p1389	n7037
n4316	p2526	n21384
n13388	p560	n18825
n15768	p2526	n13738
n13738	p2526	n1307
n13738	p2526	n17361
n13738	p2526	n8187
n14770	p1564	n19412
n14770	p1564	n12951
n14770	p1564	n14420
n14770	p1564	n12946
n6653	p2526	n14794
n6653	p1389	n16280
n6653	p1389	n21087
n6653	p1389	n16333
n16732	p1398	n12308
n12304	p2938	n21326
n16907	p1218	n5142
n16907	p1218	n7798
n16907	p1218	n6108
n16907	p1218	n6113
n5142	p1694	n18313
n5627	p1218	n5142
n5330	p1218	n16900
n12818	p1728	n21044
n21044	p1351	n12820
n21044	p1389	n17890
n21044	p1218	n5142
n1203	p1389	n17785
n1203	p1218	n5330
n21044	p2526	n20168
n21044	p232	n10769
n14193	p1218	n5330
n14193	p1398	n10846
n10846	p1936	n11612
n10846	p1936	n20672
n10846	p1936	n6403
n6069	p1694	n5142
n6069	p1694	n7798
n18039	p1389	n9109
n3333	p1398	n5782
n21046	p1389	n12819
n10626	p1389	n3856
n14193	p1694	n5142
n14193	p1694	n7798
n17966	p1105	n9632
n17768	p1818	n7817
n17768	p1818	n7026
n21044	p1389	n19653
n19653	p3666	n17774
n21044	p2521	n1207
n21045	p232	n18011
n8620	p2014	n17980
n21048	p232	n19238
n21044	p1218	n16900
n21044	p1099	n8772
n21044	p1099	n20317
n8772	p1315	n20501
n20317	p1315	n20501
n21047	p1389	n492
n21047	p3666	n17819
n19291	p1218	n16470
n16470	p1730	n15075
n21044	p1389	n754
n19653	p2521	n1204
n16907	p1351	n6293
n6293	p1564	n6161
n21044	p1489	n9765
n9765	p2576	n13447
n9765	p2576	n8613
n7368	p2526	n13447
n8070	p2526	n13447
n7368	p1389	n17748
n8070	p1389	n17748
n21045	p232	n15739
n15739	p2014	n17980
n4497	p232	n545
n4497	p232	n546
n5142	p232	n12446
n21044	p232	n669
n7954	p1218	n11772
n5582	p1987	n1461
n5582	p1389	n6413
n6413	p1351	n21044
n7257	p1389	n12007
n7257	p1389	n13627
n14427	p1389	n3667
n3667	p1218	n7716
n10511	p4012	n4663
n10511	p1564	n5334
n5142	p1564	n5334
n10511	p1818	n20396
n10511	p1694	n3556
n10511	p1694	n1845
n10511	p1494	n4806
n10511	p1494	n7803
n5142	p1818	n15293
n5142	p1818	n15284
n5142	p1818	n7008
n5142	p1818	n7794
n5142	p2526	n6832
n5142	p2526	n9194
n16732	p1398	n18865
n5142	p1819	n14160
n5334	p1218	n14692
n1282	p1389	n17785
n10267	p1389	n17785
n21051	p1389	n17785
n6091	p1389	n17785
n20575	p1728	n1282
n20574	p1728	n1282
n2655	p1389	n17890
n2655	p1892	n6010
n2655	p1892	n6013
n6013	p1383	n13650
n2655	p1383	n14613
n2655	p1218	n815
n2655	p1218	n5302
n16321	p2239	n6227
n6227	p4012	n16319
n2655	p2963	n17766
n2655	p2963	n17765
n2655	p1728	n3458
n16594	p1389	n3380
n20891	p1389	n5540
n20891	p2239	n10511
n20891	p2239	n5142
n2727	p2963	n10511
n2727	p2963	n5142
n2727	p1383	n6013
n6013	p1383	n14613
n2727	p1218	n3805
n2727	p1218	n17815
n17815	p1389	n17870
n17870	p1389	n11946
n17870	p1389	n13228
n11943	p4012	n17983
n13227	p4012	n17983
n11943	p1818	n20396
n11943	p1818	n3487
n11943	p1818	n20381
n11943	p1818	n1473
n13227	p1818	n1500
n13227	p1818	n522
n13227	p1818	n12194
n13227	p1818	n18998
n16420	p1728	n2264
n16420	p1728	n15948
n2727	p1218	n8835
n2727	p1218	n5860
n2727	p1218	n825
n825	p1218	n7714
n825	p1218	n7788
n825	p1218	n9655
n825	p1218	n11400
n825	p1218	n12675
n825	p1218	n10665
n825	p1218	n474
n7714	p1694	n4734
n7714	p1694	n3885
n7714	p1694	n21365
n7788	p1694	n6715
n7788	p1694	n15558
n7788	p1694	n15810
n7788	p1694	n8997
n7788	p1694	n19546
n7788	p1694	n909
n7788	p1694	n6219
n9655	p1694	n14647
n9655	p1694	n12439
n11400	p665	n1334
n11400	p1694	n21415
n12675	p1694	n18973
n12675	p1694	n19291
n12675	p1694	n3542
n474	p1218	n922
n474	p1218	n1404
n474	p1218	n7700
n20892	p1218	n10511
n20892	p1218	n5142
n20892	p1694	n11943
n20892	p1694	n13227
n20892	p1694	n8568
n20892	p1694	n3556
n20892	p1218	n1293
n1293	p1728	n3458
n1293	p1728	n21065
n1293	p1728	n19337
n1293	p1728	n16710
n20892	p1218	n16423
n16423	p1728	n2264
n2727	p3675	n11943
n2727	p3675	n13227
n2727	p2090	n17844
n2727	p1218	n2678
n2678	p2267	n10367
n2678	p2267	n11331
n2727	p1218	n2722
n2727	p1218	n7714
n2727	p1218	n10665
n2727	p1218	n474
n2727	p1218	n3804
n20892	p1694	n20585
n2727	p1389	n11947
n2727	p1389	n17372
n17372	p2239	n15726
n2727	p1218	n10659
n7714	p2239	n5663
n10659	p2239	n5663
n13227	p1218	n2880
n17870	p1218	n19482
n16423	p2239	n15305
n5142	p1218	n15305
n2727	p1218	n8324
n8324	p2239	n8835
n8324	p2239	n5860
n16594	p1218	n11617
n16594	p1218	n18110
n16594	p1218	n18762
n16594	p1218	n10361
n825	p1218	n8203
n10665	p1218	n8930
n2727	p1218	n3392
n19294	p2415	n14282
n20277	p2157	n7925
n20277	p551	n7924
n19294	p2302	n4645
n19294	p1135	n16732
n4645	p1135	n12079
n6748	p4012	n9663
n19294	p2415	n20119
n19294	p2267	n15291
n19294	p3023	n12810
n10744	p2603	n663
n19294	p232	n663
n663	p1351	n9654
n9936	p2155	n4648
n4645	p1694	n5884
n18838	p2346	n19294
n19294	p1351	n5995
n4645	p1351	n7902
n9664	p1351	n19294
n7901	p232	n6748
n7901	p232	n663
n21460	p2963	n7858
n21460	p1389	n2243
n3622	p1398	n16732
n3622	p1398	n17157
n3622	p1398	n17186
n3622	p1398	n7476
n20277	p4196	n7766
n19294	p2526	n6832
n6748	p2526	n9654
n663	p4012	n12811
n663	p2526	n9654
n4645	p1351	n11770
n4645	p1564	n4657
n4645	p1564	n9861
n4645	p1564	n6024
n4645	p2603	n1297
n16732	p1819	n12278
n16732	p1819	n21879
n16732	p1819	n12279
n16732	p1819	n21880
n16732	p1819	n21878
n12279	p1605	n4318
n13931	p1605	n14154
n13932	p1605	n4318
n21879	p1218	n5142
n12279	p1218	n5142
n21880	p1218	n5142
n21878	p1218	n5142
n10511	p2938	n4645
n5142	p1564	n20594
n10511	p1564	n20594
n10511	p1694	n4657
n10511	p1694	n9861
n5142	p1694	n3661
n5142	p1694	n1804
n5142	p1694	n18818
n10511	p1694	n3661
n10511	p1694	n1804
n10511	p1694	n18818
n6024	p1694	n17747
n5142	p1694	n6024
n10511	p1694	n6024
n9861	p1694	n10619
n5142	p1694	n10619
n10511	p1694	n10619
n2839	p1218	n2843
n5142	p232	n2843
n10511	p232	n2843
n3380	p226	n14207
n3380	p226	n14210
n3380	p226	n14231
n6088	p1520	n6982
n6088	p1520	n10613
n5142	p1636	n13252
n10511	p1636	n13252
n3363	p226	n3077
n3363	p1184	n10579
n3364	p1184	n8020
n3363	p2968	n3424
n3364	p2177	n15760
n3364	p2177	n8411
n3364	p2177	n4645
n2466	p4012	n3456
n2466	p226	n13253
n2466	p2365	n5142
n2466	p2365	n10511
n2466	p2305	n3451
n2466	p3755	n2839
n1746	p1389	n19570
n1746	p1389	n11621
n5780	p2963	n1746
n3789	p1389	n16401
n3789	p1389	n16402
n3789	p1389	n16400
n5142	p1694	n12814
n10511	p1694	n12814
n5142	p1694	n11921
n10511	p1694	n11921
n5142	p1694	n18685
n10511	p1694	n18685
n10653	p1987	n6374
n10145	p1389	n6231
n450	p4012	n3380
n21260	p4012	n3380
n15597	p4012	n3380
n4514	p1389	n16291
n4514	p1680	n14290
n4514	p1680	n14288
n4514	p1680	n14187
n4515	p1389	n3594
n11254	p1138	n16349
n11254	p1138	n16627
n13586	p2963	n4514
n20967	p1389	n19263
n2861	p1389	n3531
n2861	p1389	n5846
n2861	p1389	n5845
n2861	p1389	n5847
n15583	p1389	n3508
n12301	p2963	n15583
n6198	p4012	n8123
n6374	p1520	n13403
n5232	p1184	n8414
n10516	p1184	n8414
n3381	p1520	n6982
n3381	p1520	n11617
n2839	p1694	n5867
n3381	p232	n2856
n5094	p1503	n21210
n5094	p1503	n13304
n5094	p1503	n15899
n5094	p1503	n925
n5094	p1503	n18795
n5094	p1503	n18651
n5094	p1503	n2075
n5094	p1503	n4940
n5094	p1503	n8944
n5094	p1503	n1319
n5094	p1503	n1494
n5094	p1503	n12630
n5094	p1503	n14780
n3651	p4012	n13254
n925	p4012	n13254
n4940	p4012	n13254
n2466	p1503	n3651
n2466	p1503	n925
n2466	p1503	n4940
n3651	p1138	n6456
n3651	p1138	n15899
n2839	p1169	n4610
n2839	p1169	n15821
n2857	p4031	n10147
n2857	p4031	n10146
n2857	p4031	n10144
n11555	p2331	n2839
n11249	p232	n3660
n11249	p232	n926
n11249	p232	n4941
n6088	p1520	n9853
n2466	p59	n3382
n5142	p1694	n1574
n18410	p232	n5142
n18410	p232	n10511
n925	p4012	n13478
n3551	p232	n3651
n3551	p232	n4940
n13476	p2963	n3528
n3651	p4012	n13476
n925	p4012	n13476
n4940	p4012	n13476
n8022	p1779	n3451
n8022	p1779	n2839
n11245	p2531	n2869
n13254	p2836	n3425
n2466	p2968	n3424
n11257	p2844	n3451
n2466	p1184	n18166
n2466	p1184	n4622
n2466	p1184	n4624
n2466	p226	n5016
n5142	p2938	n14283
n16732	p890	n12368
n12404	p1398	n970
n16813	p1605	n12388
n12388	p2267	n16813
n12388	p1994	n18876
n9303	p3666	n593
n15983	p2576	n7382
n16093	p2267	n12388
n16093	p1564	n12854
n12854	p1564	n20594
n6748	p1105	n5618
n6748	p1564	n15259
n5142	p1694	n1891
n1891	p1564	n8948
n1891	p1564	n1557
n1891	p1564	n3556
n6797	p1892	n6904
n2655	p1383	n13638
n12795	p1564	n4198
n12795	p1564	n3127
n12795	p1564	n13751
n4198	p2576	n2490
n3127	p2576	n2490
n13751	p2576	n3039
n14363	p2529	n2157
n12795	p665	n18058
n4439	p2267	n12795
n4439	p1564	n19491
n9675	p1564	n18010
n9675	p2267	n12795
n5200	p2603	n2390
n5200	p2603	n13843
n5200	p2603	n2446
n5200	p2603	n15209
n2046	p2090	n14390
n9522	p2267	n10863
n9522	p2267	n1769
n21162	p2603	n20975
n21162	p2603	n9084
n20975	p992	n9225
n9084	p992	n9225
n9225	p2576	n2157
n9522	p1564	n9185
n9522	p1564	n923
n9185	p2576	n2157
n923	p2576	n2157
n2046	p1564	n15840
n19683	p1135	n17040
n17040	p1398	n12403
n19683	p1694	n5227
n17040	p1605	n12377
n12377	p1564	n17747
n12377	p1564	n1891
n11923	p2090	n1087
n11923	p2090	n15880
n2099	p2576	n3039
n8751	p2576	n2099
n4563	p2576	n8751
n2081	p2576	n20328
n2081	p2576	n6796
n2039	p2576	n3291
n6983	p1389	n15610
n1657	p2603	n1641
n1657	p2603	n2440
n19815	p2603	n2441
n19815	p2603	n1640
n12943	p2603	n2436
n12943	p2603	n8140
n12943	p2603	n11019
n11761	p2603	n2436
n11761	p2603	n11018
n11761	p2603	n8140
n11761	p2603	n11017
n21615	p1389	n20330
n3302	p1389	n20330
n10393	p1389	n1770
n9082	p1389	n744
n9235	p708	n3019
n12243	p2965	n12943
n2438	p2965	n5934
n1642	p2965	n1657
n2439	p2965	n19815
n5919	p1389	n18263
n5919	p2603	n9186
n19683	p1694	n11923
n19683	p1694	n3539
n19683	p1694	n18803
n3539	p3666	n19128
n18803	p3666	n643
n19685	p2603	n15995
n19685	p2603	n16244
n19685	p2603	n16152
n19685	p2603	n20839
n19684	p2603	n9519
n19684	p2603	n20833
n19684	p2603	n20844
n19684	p2603	n20839
n12944	p2267	n2083
n12944	p1564	n3290
n12944	p2576	n2039
n8751	p2603	n509
n8751	p2603	n501
n8751	p2603	n518
n19686	p2603	n16266
n19686	p2603	n16009
n19686	p2603	n16116
n19686	p2603	n20838
n2047	p1564	n21616
n2047	p1564	n3303
n2047	p1564	n10394
n9226	p1564	n9083
n19686	p2603	n9496
n9496	p2267	n2048
n2048	p1564	n18262
n15837	p2576	n15048
n15837	p2576	n4563
n15840	p1564	n15208
n15208	p1389	n15229
n15229	p665	n18058
n2044	p2267	n2140
n2044	p1564	n20329
n20329	p1564	n21617
n20329	p1564	n3304
n1768	p1564	n10395
n2044	p1564	n9185
n9185	p1564	n8742
n8742	p2267	n2045
n12944	p1564	n2082
n12944	p1564	n2059
n509	p2267	n19521
n20838	p3666	n9224
n16084	p2267	n20838
n2043	p1564	n18257
n18257	p2267	n20329
n18257	p1564	n15840
n15840	p2267	n18257
n15840	p2090	n18049
n9546	p2267	n15840
n3234	p1564	n15263
n5142	p1564	n10748
n10748	p2267	n16378
n10748	p2267	n12771
n12771	p2267	n12144
n2051	p232	n6036
n2051	p1564	n18262
n5142	p1351	n16926
n5142	p1351	n17159
n4219	p1218	n5142
n4219	p1218	n5588
n20985	p1389	n7831
n20985	p1389	n15344
n20985	p1398	n995
n20985	p1398	n1962
n1933	p1398	n13234
n1933	p1398	n6484
n1933	p1389	n2953
n1933	p1389	n18892
n1933	p1389	n14633
n1933	p1389	n20472
n1653	p3702	n10042
n7706	p3702	n10042
n1933	p2267	n17162
n17664	p1218	n4219
n17664	p1694	n6590
n17664	p1694	n2788
n17664	p1730	n5635
n17662	p1694	n9057
n17663	p1694	n9057
n7421	p1694	n4481
n17661	p1564	n12732
n1933	p3702	n10043
n1929	p2576	n13445
n1929	p3702	n17533
n17667	p2603	n16199
n17667	p2603	n16147
n338	p1389	n7772
n338	p1398	n20993
n338	p1398	n7635
n338	p1398	n12174
n338	p1398	n6552
n338	p1398	n322
n10023	p1389	n4507
n17664	p1398	n2297
n13898	p2603	n14107
n13898	p2603	n21963
n338	p1389	n5268
n329	p1389	n3948
n339	p2576	n7055
n12599	p2576	n18941
n12599	p2576	n8757
n12599	p2576	n19404
n12599	p2576	n3053
n12599	p2576	n2980
n12599	p2576	n12896
n9242	p708	n12174
n1195	p2965	n12824
n1177	p2965	n7401
n1196	p2965	n6684
n1197	p2965	n17296
n1209	p2965	n21006
n12598	p2603	n12734
n12598	p2603	n7337
n12598	p2603	n13923
n12598	p2603	n17298
n12598	p2603	n21017
n12598	p2603	n11469
n12598	p2603	n1429
n1183	p2965	n11448
n1179	p2965	n1422
n1169	p1133	n1929
n13835	p1389	n4458
n1930	p1398	n4776
n9694	p708	n17940
n11702	p1389	n18044
n9010	p1389	n15446
n13906	p1564	n598
n15545	p1564	n598
n9823	p1389	n15607
n4581	p3666	n16383
n345	p2526	n12664
n5613	p2576	n5614
n10174	p2576	n10180
n17667	p2603	n530
n344	p2603	n9539
n344	p2603	n9537
n1931	p1564	n12172
n342	p2603	n1932
n1930	p1398	n8114
n13836	p1564	n20882
n17664	p1730	n20246
n345	p1564	n15297
n345	p3666	n18041
n345	p3666	n17819
n345	p3531	n9014
n345	p1564	n13092
n345	p1564	n13146
n345	p1564	n13112
n10172	p1564	n13076
n10172	p1564	n10589
n12660	p1564	n2240
n20057	p1564	n20389
n20389	p1709	n8677
n17326	p2267	n20056
n341	p1564	n4051
n341	p1564	n7414
n341	p1564	n13920
n341	p1564	n17297
n341	p1564	n21014
n341	p1564	n11474
n341	p1564	n1434
n20934	p2603	n4581
n343	p2603	n16536
n345	p3774	n13906
n20935	p2603	n4581
n345	p3774	n15545
n20933	p2603	n16223
n345	p3308	n18882
n17169	p1218	n7524
n17159	p1218	n4219
n4219	p1694	n1541
n4219	p1694	n4657
n4219	p1694	n9861
n18769	p4051	n17747
n18769	p1564	n10598
n7772	p4051	n7848
n439	p2090	n12560
n13282	p2734	n16732
n17157	p2603	n13074
n12665	p1389	n11215
n12665	p1564	n8658
n10471	p3666	n20494
n20137	p1564	n5659
n20990	p2576	n5983
n20990	p2576	n18780
n20990	p2576	n9993
n5142	p1694	n6778
n5142	p1694	n3885
n5142	p1694	n6594
n17664	p1694	n6594
n17664	p2603	n16106
n17664	p2603	n16069
n13955	p1389	n8047
n17184	p4012	n17176
n17185	p4012	n17176
n17183	p4012	n17176
n17669	p1694	n19156
n17669	p1730	n5635
n17670	p1694	n19156
n17670	p1694	n9023
n17184	p1605	n4499
n17185	p1605	n14068
n340	p1564	n21120
n340	p1564	n21121
n5142	p1564	n5330
n5142	p1564	n3556
n5142	p1564	n11925
n5142	p1564	n1861
n5142	p1730	n15075
n5142	p1351	n16816
n16816	p1605	n18861
n18850	p2238	n5142
n2774	p2938	n18850
n14531	p2938	n18850
n10396	p2938	n18850
n18850	p2267	n3435
n6797	p899	n18212
n6797	p1157	n18234
n6797	p1157	n18235
n6797	p1157	n18496
n6408	p3585	n10079
n6823	p1383	n705
n6823	p2965	n3978
n5671	p1389	n11752
n5671	p1389	n11754
n1598	p1389	n11753
n1598	p1564	n8381
n1598	p1564	n21419
n1598	p1564	n2073
n8306	p1564	n8825
n8306	p1564	n16423
n8306	p1564	n19296
n6823	p2301	n15125
n3399	p3585	n10815
n16451	p2938	n3399
n6797	p1564	n8589
n6797	p3666	n8825
n6797	p3666	n19305
n6797	p1564	n17858
n6816	p1564	n1289
n1289	p1564	n3808
n1289	p1564	n10594
